Feature,Importance,Region,Model
GDP_Level,0.08474268958821254,Rest of Africa,Random Forest
Value_Area,0.05953808162520361,Rest of Africa,Random Forest
Price,0.013432877347299896,Rest of Africa,Random Forest
Quantity,0.012922060036938217,Rest of Africa,Random Forest
POP_Level,0.001823399518150262,Rest of Africa,Random Forest
Growth_rate,0.001378131424058893,Rest of Africa,Random Forest
GDPP,0.0011315615094428457,Rest of Africa,Random Forest
Year,0.4162557711437059,Rest of Africa,Gradient Boosting
NPP,0.3043242649051475,Rest of Africa,Gradient Boosting
GDP_Level,0.23946710132275575,Rest of Africa,Gradient Boosting
Value_Area,0.027861223836104253,Rest of Africa,Gradient Boosting
Quantity,0.006418535386750172,Rest of Africa,Gradient Boosting
Price,0.003497297453864184,Rest of Africa,Gradient Boosting
GDPP,0.0015331686181971815,Rest of Africa,Gradient Boosting
POP_Level,0.0006358149709328464,Rest of Africa,Gradient Boosting
Growth_rate,6.822362542086347e-06,Rest of Africa,Gradient Boosting
Year,0.6512903075032502,Rest of Africa,Permutation
NPP,0.3969725979305204,Rest of Africa,Permutation
GDP_Level,0.11722644803848867,Rest of Africa,Permutation
Value_Area,0.0887207812436018,Rest of Africa,Permutation
Price,0.052530451081493165,Rest of Africa,Permutation
Quantity,0.022288376914621866,Rest of Africa,Permutation
POP_Level,0.001690097618559383,Rest of Africa,Permutation
Growth_rate,0.000907351902667508,Rest of Africa,Permutation
GDPP,0.0005253452410327597,Rest of Africa,Permutation
Value_Area,0.7647578850152846,Rest of Asia,Random Forest
NPP,0.13149697632644405,Rest of Asia,Random Forest
Year,0.08524522272572739,Rest of Asia,Random Forest
Price,0.007301025461639007,Rest of Asia,Random Forest
Quantity,0.007192296659837926,Rest of Asia,Random Forest
POP_Level,0.0016598924847726427,Rest of Asia,Random Forest
Growth_rate,0.0012100503771292005,Rest of Asia,Random Forest
GDP_Level,0.000603906912011741,Rest of Asia,Random Forest
GDPP,0.0005327440371535567,Rest of Asia,Random Forest
Year,0.44519073898176403,Rest of Asia,Gradient Boosting
Value_Area,0.4111176048124632,Rest of Asia,Gradient Boosting
NPP,0.12489368936959869,Rest of Asia,Gradient Boosting
Quantity,0.006575008195226332,Rest of Asia,Gradient Boosting
Price,0.004344609534329005,Rest of Asia,Gradient Boosting
Growth_rate,0.0037613054836282017,Rest of Asia,Gradient Boosting
POP_Level,0.0028675603755578625,Rest of Asia,Gradient Boosting
GDP_Level,0.0007641353757540106,Rest of Asia,Gradient Boosting
GDPP,0.000485347871678727,Rest of Asia,Gradient Boosting
Value_Area,0.9297191147351118,Rest of Asia,Permutation
Year,0.24457829794604802,Rest of Asia,Permutation
NPP,0.23001366612404245,Rest of Asia,Permutation
Quantity,0.023499466566666162,Rest of Asia,Permutation
Price,0.02006588231900417,Rest of Asia,Permutation
POP_Level,0.0014945094484749455,Rest of Asia,Permutation
Growth_rate,0.0012620657735706974,Rest of Asia,Permutation
GDP_Level,0.0004189984080780418,Rest of Asia,Permutation
GDPP,0.0004069303221963305,Rest of Asia,Permutation
Year,0.6367014599611486,Rest of Europe,Random Forest
Value_Area,0.21193691399657524,Rest of Europe,Random Forest
NPP,0.11439012426344755,Rest of Europe,Random Forest
Quantity,0.017852427754510486,Rest of Europe,Random Forest
Price,0.01628495028484809,Rest of Europe,Random Forest
GDPP,0.000856195910227972,Rest of Europe,Random Forest
Growth_rate,0.0007709489190865219,Rest of Europe,Random Forest
POP_Level,0.0006766213962608251,Rest of Europe,Random Forest
GDP_Level,0.0005303575138948756,Rest of Europe,Random Forest
Year,0.5468197354915688,Rest of Europe,Gradient Boosting
Value_Area,0.32503491071919627,Rest of Europe,Gradient Boosting
NPP,0.09387914362976102,Rest of Europe,Gradient Boosting
Quantity,0.017046190342732852,Rest of Europe,Gradient Boosting
Price,0.012674242908273623,Rest of Europe,Gradient Boosting
GDPP,0.003663199352823878,Rest of Europe,Gradient Boosting
GDP_Level,0.0007494819431020999,Rest of Europe,Gradient Boosting
POP_Level,0.00013309561254138912,Rest of Europe,Gradient Boosting
Growth_rate,0.0,Rest of Europe,Gradient Boosting
Year,0.7284261913792769,Rest of Europe,Permutation
Value_Area,0.34153688981153735,Rest of Europe,Permutation
NPP,0.1479100986078351,Rest of Europe,Permutation
Quantity,0.04177100645887596,Rest of Europe,Permutation
Price,0.04119356695659661,Rest of Europe,Permutation
GDPP,0.0005685320526650939,Rest of Europe,Permutation
Growth_rate,0.0005229003781144992,Rest of Europe,Permutation
POP_Level,0.0004062912298129828,Rest of Europe,Permutation
GDP_Level,0.00027534214969481273,Rest of Europe,Permutation
Year,0.7357459196837521,Rest of Central America,Random Forest
NPP,0.18912694662631438,Rest of Central America,Random Forest
Value_Area,0.02936131540105447,Rest of Central America,Random Forest
Quantity,0.01695520093688106,Rest of Central America,Random Forest
Price,0.013977770766472483,Rest of Central America,Random Forest
GDP_Level,0.010808390153215405,Rest of Central America,Random Forest
Growth_rate,0.0016938272233063506,Rest of Central America,Random Forest
POP_Level,0.0013009310745666209,Rest of Central America,Random Forest
GDPP,0.0010296981344370384,Rest of Central America,Random Forest
Year,0.7316327320702943,Rest of Central America,Gradient Boosting
NPP,0.15868409429925756,Rest of Central America,Gradient Boosting
GDP_Level,0.05270898587193257,Rest of Central America,Gradient Boosting
Value_Area,0.03801579007084255,Rest of Central America,Gradient Boosting
Quantity,0.011161799423076277,Rest of Central America,Gradient Boosting
Price,0.005900919473190949,Rest of Central America,Gradient Boosting
